,$\Delta t (\mathrm{d})$,all,$u$,$g$,$r$,$i$,$z$,$y$
0,3,68572.05573463386,9595.61255362152,11605.846509382995,12234.158343208135,11708.545233743305,11398.14865294991,12029.744441727993
1,7,71354.62562513503,10034.285551179091,12078.4081735265,12758.132207272161,12052.573666009845,11676.241171044814,12754.98485610262
2,14,74584.2341288892,10163.365198189662,12623.681299498294,13726.347039105152,12656.695701870467,12125.744116550357,13288.400773675272
3,28,80655.67124438357,10732.128710754963,13273.068365026427,15347.292997083914,14007.259059289436,13181.166803706072,14114.755308522766
