,filter,\texttt{med}(seeing),\texttt{std}(seeing),\texttt{min}(seeing),\texttt{max}(seeing)
0,$u$,1.100912908081132,0.3439293175357553,0.48217993134389786,4.379694847480442
1,$g$,1.0580701230411025,0.350122110325262,0.5016524871634891,4.39623005224578
2,$r$,0.9470739732927514,0.31765025154800164,0.5048090652984911,4.2460093136908945
3,$i$,0.9018338934020431,0.2797220152238826,0.4866828380928764,3.4588165077755795
4,$z$,0.9080370466667622,0.29071906245057877,0.5079138325705137,4.493482783056858
5,$y$,0.9402537670555622,0.24648827553780198,0.5393692293035485,3.757149969878614
