,filter,\texttt{med}(5-$\sigma$ depth),\texttt{std}(5-$\sigma$ depth),\texttt{min}(5-$\sigma$ depth),\texttt{max}(5-$\sigma$ depth)
0,$u$,23.497230700146975,0.35272551675514724,20.522995351838368,24.514885095340432
1,$g$,24.461470122387894,0.549435193133496,21.703555620288668,25.588934382016475
2,$r$,24.168012698712257,0.4232541460405885,21.832623599213203,25.053516503302234
3,$i$,23.65836482082002,0.3896199133875028,21.66716731069671,24.617151343876827
4,$z$,23.07925974598848,0.3481848823841335,20.42108806820154,23.89409642527561
5,$y$,22.076346829222633,0.30847358866057795,20.239939673228506,22.872953305686508
