,$\Delta t (\mathrm{d})$,all,$u$,$g$,$r$,$i$,$z$,$y$
0,3,0.6001940606341862,0.2572330717516966,0.415082550144053,0.6585209771277896,0.6918019180088874,0.6425615174296648,0.6615655210109878
1,7,0.5881814223694654,0.2364243332069128,0.39613814790818924,0.6452167016336379,0.6824575293424838,0.6361804083301493,0.6500240005314876
2,14,0.5722362876498724,0.22745523045105856,0.3732372738539335,0.6234204127780397,0.6698279407774718,0.6227389365960129,0.6354057483069468
3,28,0.5395009766136522,0.19811817277742824,0.3422642029284987,0.5749901150782372,0.6353104231194193,0.5915232104438873,0.6158420520109776
