,$\Delta t (\mathrm{d})$,all,$u$,$g$,$r$,$i$,$z$,$y$
0,3,0.9596867038194203,0.5929570850133912,0.7962382799261964,0.9212157327914369,0.89090994530178,0.8477705688763517,0.9104915874917732
1,7,0.9583201514065194,0.5575817322541474,0.7728809730014686,0.9174560445447862,0.8884645025469446,0.8455007052186178,0.9042433805288826
2,14,0.9546267159124733,0.544592576295425,0.7507851037391272,0.9113879077146922,0.8805191631736246,0.8399398213446169,0.9004906593313871
3,28,0.9453379034839597,0.49169244048047184,0.716654742629062,0.9019529700597226,0.8658596642920247,0.8285905030559474,0.8842689471286093
