,filter,\texttt{med}(seeing),\texttt{std}(seeing),\texttt{min}(seeing),\texttt{max}(seeing),\texttt{med}(5-$\sigma$ depth),\texttt{std}(5-$\sigma$ depth),\texttt{min}(5-$\sigma$ depth),\texttt{max}(5-$\sigma$ depth)
0,$u$,1.100912908081132,0.3439293175357553,0.48217993134389786,4.379694847480442,23.497230700146975,0.35272551675514724,20.522995351838368,24.514885095340432
1,$g$,1.0580701230411025,0.350122110325262,0.5016524871634891,4.39623005224578,24.461470122387894,0.549435193133496,21.703555620288668,25.588934382016475
2,$r$,0.9470739732927514,0.31765025154800164,0.5048090652984911,4.2460093136908945,24.168012698712257,0.4232541460405885,21.832623599213203,25.053516503302234
3,$i$,0.9018338934020431,0.2797220152238826,0.4866828380928764,3.4588165077755795,23.65836482082002,0.3896199133875028,21.66716731069671,24.617151343876827
4,$z$,0.9080370466667622,0.29071906245057877,0.5079138325705137,4.493482783056858,23.07925974598848,0.3481848823841335,20.42108806820154,23.89409642527561
5,$y$,0.9402537670555622,0.24648827553780198,0.5393692293035485,3.757149969878614,22.076346829222633,0.30847358866057795,20.239939673228506,22.872953305686508
